File Name,Record Number,NARA Release Date,Formerly Withheld,Agency,Document Date,Document Type,File Number,To Name,From Name,Title,Number of Pages,Originator,Record Series,Review Date,Comments,Pages Released,URL
2018/104-10331-10354.pdf,104-10331-10354,04/26/2018,Redact,CIA,7/2/98,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,MEMO FOR THE RECORD,GARY M. BRENEMAN,MEMO: AMLYRIC-2 21 FILE,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.13:21:38:967054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10354.pdf
2018/104-10331-10357.pdf,104-10331-10357,04/26/2018,Redact,CIA,12/19/1999,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,JAMES R. OLIVER,J. BARRY HARRELSON,NOTE: MEETING WITH NARA - JFK,1,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.02.14.13:40:22:733054 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10357.pdf
2018/104-10331-10360.pdf,104-10331-10360,04/26/2018,Redact,CIA,08/18/1997,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,"DYER, KATHRYN. DCI",HARRELSON. CSI/HRG,MEMO: ARRB REQUEST FOR DCI MCCONE'S FILES,12,CIA,JFK,3/12/18,JFK-M-16 : F6 : 2000.02.16.14:45:15:670044 :,12,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10360.pdf
2018/104-10331-10361.pdf,104-10331-10361,04/26/2018,Redact,CIA,9/4/97,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,"WICKHAM/DYER/RANT, DO AND DA",HARRELSON. CSI/HRG,MEMO: ARRB REQUEST RE DCI BUSH REVISITED,3,CIA,JFK,3/12/18,JFK-M-16 : F6 : 2000.02.16.14:49:11:280044 :,3,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10361.pdf
2018/104-10331-10362.pdf,104-10331-10362,04/26/2018,Redact,CIA,01/29/1998,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,HARRELSON. HRP/IRG,KATHRYN DYER. PIRD/IRG,MEMO: JFK - RECORDS SEARCH,5,CIA,JFK,3/12/18,JFK-M-16 : F7 : 2000.02.16.15:08:23:780044 :,5,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10362.pdf
2018/104-10331-10363.pdf,104-10331-10363,04/26/2018,Redact,CIA,02/26/1998,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,DCI FOCAL POINT,HARRELSON. JFK PROJ OFFICER OIM/HRP,MEMO: DULLES CALENDARS,14,CIA,JFK,3/12/18,JFK-M-16 : F7 : 2000.02.16.15:20:17:577044 :,14,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10363.pdf
2018/104-10331-10364.pdf,104-10331-10364,04/26/2018,Redact,CIA,05/21/1998,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,DCI/IRO,DCI/OIG/IMO,"MEMO: BRECKINRIDGE, LHO REPORT, AND REPORT INDEXES/INVENTORY",1,CIA,JFK,3/12/18,JFK-M-16 : F7 : 2000.02.16.15:26:49:153044 : FILE-ORIGINAL DOCUMENT IS PREVIOUSLY SANITIZED.,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10364.pdf
2018/104-10331-10365.pdf,104-10331-10365,04/26/2018,Redact,CIA,07/22/1998,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,J. BARRY HARRELSON,WITHHELD,NOTE: OGC SEARCHES UNDER JFK ACT,2,CIA,JFK,3/12/18,JFK-M-16 : F7 : 2000.02.16.15:34:38:500044 : ATTACHED MEMO DATED 21 MAY 1998 IS PREVIOUSLY SANITIZED.,2,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10365.pdf
2018/104-10331-10367.pdf,104-10331-10367,04/26/2018,Redact,CIA,03/23/1994,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,C/HRG,,MEMO: NOSENKO AND THE MANGOLD LITIGATION,1,CIA,JFK,3/12/18,JFK-M-16 : F3 : 2000.02.17.13:54:09:310044 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10367.pdf
2018/104-10331-10369.pdf,104-10331-10369,04/26/2018,Redact,CIA,1/6/97,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,THE RECORD,JOHN PEREIRA. C/HRG,MEMO: APPRECIATION FOR TASK PERFORMED BY ROGER MARTIN,1,CIA,JFK,3/12/18,JFK-M-16 : F6 : 2000.02.17.14:09:08:403044 :,1,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10369.pdf
2018/104-10331-10370.pdf,104-10331-10370,04/26/2018,Redact,CIA,1/6/98,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,BARRY HARRELSON. OIM/HRG,OIG/IMO,MEMO: INADVERTENT DESTRUCTION OF RECORDS,38,CIA,JFK,3/12/18,JFK-M-16 : F7 : 2000.02.17.14:18:18:187044 :,38,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10370.pdf
2018/104-10331-10371.pdf,104-10331-10371,04/26/2018,Redact,CIA,6/1/95,PAPER-TEXTUAL DOCUMENT,PROJFILES-CORRESPONDENCE,BRIAN,BARRY,(EST PUB DATE) NOTE: STATUS OF ARRB DECISION ON 16 DOCUMENTS,2,CIA,JFK,3/12/18,JFK-M-16 : F13 : 2000.03.01.10:38:56:467035 :,2,https://www.archives.gov/files/research/jfk/releases/2018/104-10331-10371.pdf
